label,text
ham,go until jurong point crazy available only bugis n great world la e buffet cine there got amore wat
ham,ok lar joking wif u oni
spam,free entry NUM wkly comp win fa cup final tkts 21st may NUM text fa NUM receive entry question std txt rate t c s apply 08452810075over18 s
ham,u dun say so early hor u c already then say
ham,nah i don t think he goes usf he lives around here though
spam,freemsg hey there darling it s been NUM week s now no word back i d like some fun you up it still tb ok xxx std chgs send £ NUM NUM rcv
ham,even my brother not like speak with me they treat me like aids patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press NUM copy your friends callertune
spam,winner as valued network customer you have been selected receivea £ NUM prize reward claim call PHONE claim code kl341 valid NUM hours only
spam,had your mobile NUM months more u r entitled update latest colour mobiles with camera free call mobile update co free PHONE
ham,i m gonna be home soon i don t want talk about this stuff anymore tonight k i ve cried enough today
spam,six chances win cash from NUM NUM NUM pounds txt csh11 send NUM cost 150p day 6days NUM tsandcs apply reply hl NUM info
spam,urgent you have won NUM week free membership our £ NUM NUM prize jackpot txt word claim no NUM t c URL lccltd pobox 4403ldnw1a7rw18
ham,i ve been searching right words thank you this breather i promise i wont take your help granted will fulfil my promise you have been wonderful blessing at all times
ham,i have date sunday with will
spam,xxxmobilemovieclub use your credit click wap link next txt message click here URL xxxmobilemovieclub com n qjkgighjjgcbl
ham,oh k i m watching here
ham,eh u remember how NUM spell his name yes i did he v naughty make until i v wet
ham,fine that s way u feel that s way its gota b
spam,england v macedonia dont miss goals team news txt ur national team NUM eg england NUM try wales scotland 4txt ú1 NUM poboxox36504w45wq NUM
ham,that seriously how you spell his name
ham,i‘m going try NUM months ha ha only joking
ham,so ü pay first lar then when da stock comin
ham,aft i finish my lunch then i go str down lor ard NUM smth lor u finish ur lunch already
ham,ffffffffff alright no way i can meet up with you sooner
ham,just forced myself eat slice i m really not hungry tho this sucks mark getting worried he knows i m sick when i turn down pizza lol
ham,lol your always so convincing
ham,did you catch bus you frying egg did you make tea you eating your mom s left over dinner do you feel my love
ham,i m back amp we re packing car now i ll let you know there s room
ham,ahhh work i vaguely remember that what does it feel like lol
ham,wait that s still not all that clear were you not sure about me being sarcastic that that s why x doesn t want live with us
ham,yeah he got at NUM was v apologetic n had fallen out she was actin like spoilt child he got caught up that till NUM we won t go there not doing too badly cheers you
ham,k tell me anything about you
ham,fear fainting with all that housework you just did quick have cuppa
spam,thanks your subscription ringtone uk your mobile will be charged £ NUM month please confirm by replying yes no you reply no you will not be charged
ham,yup ok i go home look at timings then i msg ü again xuhui going learn 2nd may too her lesson at 8am
ham,oops i ll let you know when my roommate s done
ham,i see letter b my car
ham,anything lor u decide
ham,hello how s you how did saturday go i was just texting see you d decided do anything tomo not that i m trying invite myself anything
ham,pls go ahead with watts i just wanted be sure do have great weekend abiola
ham,did i forget tell you i want you i need you i crave you most all i love you my sweet arabian steed mmmmmm yummy
spam,PHONE rodger burns msg we tried call you re your reply our sms free nokia mobile free camcorder please call now PHONE delivery tomorrow
ham,who you seeing
ham,great i hope you like your man well endowed i am lt gt inches
ham,no calls messages missed calls
ham,didn t you get hep b immunisation nigeria
ham,fair enough anything going
ham,yeah hopefully tyler can t do it i could maybe ask around bit
