original,cleaned
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only bugis n great world la e buffet cine there got amore wat
Ok lar... Joking wif u oni...,ok lar joking wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry NUM wkly comp win fa cup final tkts 21st may NUM text fa NUM receive entry question std txt rate t c s apply 08452810075over18 s
U dun say so early hor... U c already then say...,u dun say so early hor u c already then say
"Nah I don't think he goes to usf, he lives around here though",nah i don t think he goes usf he lives around here though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey there darling it s been NUM week s now no word back i d like some fun you up it still tb ok xxx std chgs send £ NUM NUM rcv
Even my brother is not like to speak with me. They treat me like aids patent.,even my brother not like speak with me they treat me like aids patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press NUM copy your friends callertune
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as valued network customer you have been selected receivea £ NUM prize reward claim call PHONE claim code kl341 valid NUM hours only
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile NUM months more u r entitled update latest colour mobiles with camera free call mobile update co free PHONE
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i m gonna be home soon i don t want talk about this stuff anymore tonight k i ve cried enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash from NUM NUM NUM pounds txt csh11 send NUM cost 150p day 6days NUM tsandcs apply reply hl NUM info
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won NUM week free membership our £ NUM NUM prize jackpot txt word claim no NUM t c URL lccltd pobox 4403ldnw1a7rw18
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i ve been searching right words thank you this breather i promise i wont take your help granted will fulfil my promise you have been wonderful blessing at all times
I HAVE A DATE ON SUNDAY WITH WILL!!,i have date sunday with will
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use your credit click wap link next txt message click here URL xxxmobilemovieclub com n qjkgighjjgcbl
Oh k...i'm watching here:),oh k i m watching here
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how NUM spell his name yes i did he v naughty make until i v wet
Fine if that's the way u feel. That's the way its gota b,fine that s way u feel that s way its gota b
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goals team news txt ur national team NUM eg england NUM try wales scotland 4txt ú1 NUM poboxox36504w45wq NUM
Is that seriously how you spell his name?,that seriously how you spell his name
I‘m going to try for 2 months ha ha only joking,i‘m going try NUM months ha ha only joking
So ü pay first lar... Then when is da stock comin...,so ü pay first lar then when da stock comin
